stem	back	front	log_odds_back	stem_freq	language	log_odds_adj	transcription	trial_type	target	prompt	stimulus	choices
token	6	3934	-6.48565252972095	3940	en	-6.33175601179619	token	pl	tokenok	<p>Ez egy token. Azok ott tokenok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">tokenok</p>	
token	6	3934	-6.48565252972095	3940	en	-6.33175601179619	token	dat	tokennak	<p>Ez egy token. Elneveztem a kutyámat tokennak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">tokennak</p>	
duett	20	11632	-6.3657829262193095	11652	it	-6.317078728093343	duett	pl	duettok	<p>Ez egy duett. Azok ott duettok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">duettok</p>	
duett	20	11632	-6.3657829262193095	11652	it	-6.317078728093343	duett	dat	duettnak	<p>Ez egy duett. Elneveztem a kutyámat duettnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">duettnak</p>	
kortes	0	452	-Inf	452	NA	-6.115892125483034	korteš	pl	kortesok	<p>Ez egy kortes. Azok ott kortesok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kortesok</p>	
kortes	0	452	-Inf	452	NA	-6.115892125483034	korteš	dat	kortesnak	<p>Ez egy kortes. Elneveztem a kutyámat kortesnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kortesnak</p>	
omlett	9	3760	-6.0349496590477205	3769	fr	-5.929855065476291	omlett	pl	omlettok	<p>Ez egy omlett. Azok ott omlettok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">omlettok</p>	
omlett	9	3760	-6.0349496590477205	3769	fr	-5.929855065476291	omlett	dat	omlettnak	<p>Ez egy omlett. Elneveztem a kutyámat omlettnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">omlettnak</p>	
koffer	668	2175	-1.180495769986139	2843	de	-1.1794595478476049	koffer	pl	kofferok	<p>Ez egy koffer. Azok ott kofferok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kofferok</p>	
koffer	668	2175	-1.180495769986139	2843	de	-1.1794595478476049	koffer	dat	koffernak	<p>Ez egy koffer. Elneveztem a kutyámat koffernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">koffernak</p>	
bojler	312	915	-1.075920877466039	1227	en	-1.0738131741339771	bojler	pl	bojlerok	<p>Ez egy bojler. Azok ott bojlerok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bojlerok</p>	
bojler	312	915	-1.075920877466039	1227	en	-1.0738131741339771	bojler	dat	bojlernak	<p>Ez egy bojler. Elneveztem a kutyámat bojlernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bojlernak</p>	
farmer	7287	20249	-1.0220134709289872	27536	en	-1.021925633594891	farmer	pl	farmerok	<p>Ez egy farmer. Azok ott farmerok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">farmerok</p>	
farmer	7287	20249	-1.0220134709289872	27536	en	-1.021925633594891	farmer	dat	farmernak	<p>Ez egy farmer. Elneveztem a kutyámat farmernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">farmernak</p>	
szkander	139	375	-0.9924520928397192	514	ar	-0.9879467207805903	skander	pl	szkanderok	<p>Ez egy szkander. Azok ott szkanderok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szkanderok</p>	
szkander	139	375	-0.9924520928397192	514	ar	-0.9879467207805903	skander	dat	szkandernak	<p>Ez egy szkander. Elneveztem a kutyámat szkandernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szkandernak</p>	
karcer	36	93	-0.949080554697146	129	la	-0.9323768696257794	karcer	pl	karcerok	<p>Ez egy karcer. Azok ott karcerok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">karcerok</p>	
karcer	36	93	-0.949080554697146	129	la	-0.9323768696257794	karcer	dat	karcernak	<p>Ez egy karcer. Elneveztem a kutyámat karcernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">karcernak</p>	
fotel	11597	25177	-0.7751844353673116	36774	fr	-0.7751379278898186	fotel	pl	fotelok	<p>Ez egy fotel. Azok ott fotelok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">fotelok</p>	
fotel	11597	25177	-0.7751844353673116	36774	fr	-0.7751379278898186	fotel	dat	fotelnak	<p>Ez egy fotel. Elneveztem a kutyámat fotelnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">fotelnak</p>	
flanel	73	159	-0.7784447610718404	232	fr	-0.7711087220296571	flanel	pl	flanelok	<p>Ez egy flanel. Azok ott flanelok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">flanelok</p>	
flanel	73	159	-0.7784447610718404	232	fr	-0.7711087220296571	flanel	dat	flanelnak	<p>Ez egy flanel. Elneveztem a kutyámat flanelnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">flanelnak</p>	
karter	113	232	-0.7193495529539694	345	en	-0.714840005171205	karter	pl	karterok	<p>Ez egy karter. Azok ott karterok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">karterok</p>	
karter	113	232	-0.7193495529539694	345	en	-0.714840005171205	karter	dat	karternak	<p>Ez egy karter. Elneveztem a kutyámat karternak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">karternak</p>	
jampec	183	281	-0.4288685164923248	464	de	-0.4269713133291279	jampec	pl	jampecok	<p>Ez egy jampec. Azok ott jampecok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">jampecok</p>	
jampec	183	281	-0.4288685164923248	464	de	-0.4269713133291279	jampec	dat	jampecnak	<p>Ez egy jampec. Elneveztem a kutyámat jampecnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">jampecnak</p>	
kóter	222	254	-0.13465688514625712	476	de	-0.13409177369830738	kóter	pl	kóterok	<p>Ez egy kóter. Azok ott kóterok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kóterok</p>	
kóter	222	254	-0.13465688514625712	476	de	-0.13409177369830738	kóter	dat	kóternak	<p>Ez egy kóter. Elneveztem a kutyámat kóternak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kóternak</p>	
macesz	117	88	0.28483712031954966	205	yi	0.28204825473352485	maces	pl	maceszok	<p>Ez egy macesz. Azok ott maceszok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">maceszok</p>	
macesz	117	88	0.28483712031954966	205	yi	0.28204825473352485	maces	dat	macesznak	<p>Ez egy macesz. Elneveztem a kutyámat macesznak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">macesznak</p>	
