stem	transcription	yi_la	knn	x_phon	y_phon
koncert	koncert	0.07824362906513575	-1.30153777651735	-0.9429963016955092	-1.2483247557238837
konfekt	konfekt	0.1770653986124822	NA	-2.481866815338939	-0.9483463984186519
konszern	konsern	0.09492138439458392	-1.9956507793902485	-0.45010336146332763	-1.3872255023192888
konzerv	konzerv	0.16759735271923498	-1.9956507793902485	-0.34649816720916726	-1.4248565384599634
kopek	kopek	0.3912163121087404	-1.9833948819212233	-0.5486874082900509	1.062043807394932
korner	korner	0.11134422219833956	-1.0668032538595074	0.6447756583833532	-1.3681797936609537
kornett	kornett	0.14724550605404182	-3.018436183011514	-2.694389440827871	-1.419146517934539
korrekt	korrekt	0.13124523650704584	-3.1205319783793373	-2.6214517661695576	-1.7330777699519935
kortes	korteš	0.09828083128587428	NA	0.05704078008181597	-1.0211284617217509
korvett	korvett	0.2058043127774718	-3.2055673192799587	-2.798578640924115	-1.4360987449910978
kotlett	kotlett	0.16549548705024944	NA	-2.796302221712448	-0.7625046305094177
krapek	krapek	0.3035920512557899	1.1201577633205746	0.08970741386156807	0.5918073390424724
krokett	krokett	0.08336775855311407	-2.5176233223969944	-2.260022746201517	0.5337468806441172
kráter	kráter	0.011929006211593306	-1.7834717597135614	1.5096834776107937	0.3442481790710317
kukker	kukker	0.18796456659985497	-1.4494448273962863	0.9894742485729978	-0.5536432758024871
kupec	kupec	0.37372777579790645	-1.3990174444177863	-0.7140473139745519	1.2202578595269602
kábel	kábel	0.2458926497993373	-1.9662379278586004	0.8508996925429874	1.2336518972936439
káder	káder	0.13579317526001136	-2.241864119350936	1.0841274011951971	1.1134725139098056
kódex	kódeks	0.18353385137492803	-2.0559138546438573	-1.2914855495429105	1.6333307216740494
kókler	kókler	0.264479540402749	-1.1310133845668664	0.717846782908669	-0.5604775624847664
kóter	kóter	0.13671020318322033	0.07257532031140307	1.093859838668007	1.010281505310089
lasztex	lasteks	0.051875786538392143	-2.200218827465512	-0.7251048923838888	-0.622756706125977
latex	lateks	0.28035959157346985	1.82946539011553	-0.7907137718694404	1.339496594547106
latens	latenš	0	NA	-0.6535297966774163	1.415586620321838
lornyett	lorṉett	0.1745223816057465	-2.0144862670459225	-2.667353442813699	-1.1110481276653947
luesz	lues	0.2644373747017373	-0.9231980119517628	0.11358065031698443	1.5531519197804118
lumen	lumen	0.19274482874818386	-1.197319898370384	0.12080731575078672	1.5901678132422898
lumpen	lumpen	0.03491807081192549	-0.07804609257385875	0.1857665852711492	0.013204377093279027
láger	láger	0.16861275448262228	-0.7835833688005364	1.240629010729751	1.6193580629634006
lóden	lóden	0.0846289479237616	-2.3820732463763705	0.46209468537740556	1.9062959388844396
macesz	maces	0.294100673646994	1.7918062714652103	0.3623468303028772	1.180354981276278
macher	macher	0.3738223885723593	2.8575235655462956	1.23805255237139	-0.45181864576545344
maglen	maglen	0.45289802900807424	NA	0.02069094795866736	-0.3166010341185297
majszter	majster	0.31508120870094947	-1.3516746072769543	1.4688359832086377	-1.1306850637986625
makett	makett	0.4066686028267125	-2.059310691510337	-2.144752822542532	1.1612195862744168
malter	malter	0.2513349712635223	-1.4777895625252149	1.154068964585033	-0.9575392632106028
marlen	marlen	0.283732021292077	NA	-0.060762841659354715	-1.1791630726702729
maszek	masek	0.6162275837540184	1.8275073878810368	-0.10562499023291719	0.9454862808107245
matek	matek	0.5477786255502185	1.3167185691850718	0.14118768034118426	1.2022598758929874
mater	mater	0.7452382945338876	3.108808306004673	1.1886298596239564	0.8530992774643084
modell	modell	0.2133085140173435	-1.9558232960605288	-0.2825942606279788	0.9202991388312444
modem	modem	0.3929319269333934	-2.128708084269642	0.1167932385396054	1.4287715896719817
modern	modern	0.19935733543562184	-1.4282003807441774	-0.3085742312933533	1.0099923037503542
moped	moped	0.3895110737179006	-2.139261555028962	-0.37878948756965525	1.3386296745651098
motel	motel	0.30312313327452056	-1.4776493028693278	0.8851552071324711	0.9119240891311503
mutex	muteks	0.16857654620156817	NA	-1.1215273664083159	1.5370335177198196
muter	muter	0.13441276819557343	-0.9076646771543876	1.1121156754940902	1.0733563423447217
mutter	mutter	0.3507362406377663	-0.5415342803851569	1.3513242388620819	-0.363861366804831
mágnes	mágneš	0.300758305579486	-1.6644071058043932	0.42492807127749166	0.4186725039680562
nonszensz	nonsens	0.0504276639395561	-1.3830364803526063	-1.4450217886175878	-0.6322636532404518
notesz	notes	0.21852893996115547	-1.9765652515257737	0.15606660866098127	1.2916622544946448
ofszet	ofset	0.4234350099690822	NA	-0.7882828692299373	0.4182520277309777
okker	okker	0.30734496069799616	2.948758522216075	0.9592073451828783	0.38076635220702487
oklen	oklen	0.20143051762067454	NA	-0.21978389930318853	0.21552979113528978
omlett	omlett	0.2732317348686268	-1.6798876961229046	-2.877873467339763	0.029259275470728954
paccer	paccer	0.24472709820676614	NA	1.2951321818871153	-0.7861082027898465
pajesz	pajes	0.45871351355004086	-1.5523082587243962	-0.03616997165510568	0.582540846136752
pakett	pakett	0.3072199594588974	-1.6775019645516382	-2.1260246733191006	0.8890244209634972
pamflet	pamflet	0.8131627478929812	-1.626104964919312	-0.8927016413348781	-1.2442869862485946
panel	panel	0.4144321738439364	-0.8755606473084692	0.8247616296527698	0.46738465198042595
parkett	parkett	0.34520080211000803	-1.7624318541335349	-2.2717422851708595	-1.377701963693433
parszek	parsek	0.5634889161131137	-1.4021823461934746	-0.21216289693684398	-1.2880531772432653
partner	partner	0.19974617312004414	-1.4392761816505788	1.431642272441417	-1.5864677706929176
pasztell	pastell	0.14369301077302482	-1.3455367756607897	0.28080719293365164	-1.2327036089675358
plakett	plakett	0.15351490895423292	-2.082853091177202	-1.99651655942797	0.4850268074921214
pollen	pollen	0.31256200371816856	-1.2289162565335594	-0.3299898424385413	-1.3301360846207744
