stem	transcription	language	log_odds_adj	neighbourhood_size	llfpm10	stem_length	stem_final	stem_phonology	stem_final_consonant_cluster	suffix	log_odds_back_suffix	date	yi_la	knn	x_phon	y_phon
malter	malter	de	1.097116402076527	1	0.6100893505755742	6	r	coronal_sonorant	4	Dat	0.7419373447293773	1838	0.2513349712635223	-1.4777895625252149	1.154068964585033	-0.9575392632106028
malter	malter	de	1.097116402076527	1	0.6100893505755742	6	r	coronal_sonorant	4	Pl	-0.5108256237659907	1838	0.2513349712635223	-1.4777895625252149	1.154068964585033	-0.9575392632106028
muter	muter	yi	1.979996611974125	4	0.5004649093036383	5	r	coronal_sonorant	4	Dat	1.1587808101345625	1897	0.13441276819557343	-0.9076646771543876	1.1121156754940902	1.0733563423447217
muter	muter	yi	1.979996611974125	4	0.5004649093036383	5	r	coronal_sonorant	4	Pl	0.5108256237659907	1897	0.13441276819557343	-0.9076646771543876	1.1121156754940902	1.0733563423447217
kolesz	koles	hu	2.208240179257725	0	0.7726222789466473	6	s	sibilant	4	Pl	1.8870696490323797	1950	0.3823026854687912	-0.8309562914712821	-0.564643192276082	0.28509512069653276
kolesz	koles	hu	2.208240179257725	0	0.7726222789466473	6	s	sibilant	4	Dat	1.4271163556401458	1950	0.3823026854687912	-0.8309562914712821	-0.564643192276082	0.28509512069653276
krapek	krapek	de	2.391053740981654	0	0.2858131136537797	6	k	other	4	Pl	4.543294782270004	1862	0.3035920512557899	1.1201577633205746	0.08970741386156807	0.5918073390424724
krapek	krapek	de	2.391053740981654	0	0.2858131136537797	6	k	other	4	Dat	1.2192402764567245	1862	0.3035920512557899	1.1201577633205746	0.08970741386156807	0.5918073390424724
pajesz	pajes	yi	2.8977518651937872	0	0.19606017543000023	6	s	sibilant	4	Pl	3.4011973816621555	1875	0.45871351355004086	-1.5523082587243962	-0.03616997165510568	0.582540846136752
pajesz	pajes	yi	2.8977518651937872	0	0.19606017543000023	6	s	sibilant	4	Dat	1.9459101490553132	1875	0.45871351355004086	-1.5523082587243962	-0.03616997165510568	0.582540846136752
balek	balek	yi	3.138951104334203	1	1.18302479496678	5	k	other	4	Pl	7.905072849498666	1958	0.7255440579265314	0.4754510774968708	-0.4571760748696845	0.34899924466494975
balek	balek	yi	3.138951104334203	1	1.18302479496678	5	k	other	4	Dat	1.7882812048517303	1958	0.7255440579265314	0.4754510774968708	-0.4571760748696845	0.34899924466494975
maszek	masek	yi	3.248074979560463	1	1.0569096792608152	6	k	other	4	Pl	5.545177444479562	1960	0.6162275837540184	1.8275073878810368	-0.1056249902329172	0.9454862808107244
maszek	masek	yi	3.248074979560463	1	1.0569096792608152	6	k	other	4	Dat	2.4485390056171252	1960	0.6162275837540184	1.8275073878810368	-0.1056249902329172	0.9454862808107244
fater	fater	yi	3.339284845324914	8	1.2643232470451446	5	r	coronal_sonorant	4	Dat	2.183412203048608	1908	0.17382802292771135	0.5959073885971742	1.2193226369582644	0.7927735463996184
fater	fater	yi	3.339284845324914	8	1.2643232470451446	5	r	coronal_sonorant	4	Pl	5.0369526024136295	1908	0.17382802292771135	0.5959073885971742	1.2193226369582644	0.7927735463996184
matek	matek	en	4.190638832642174	4	1.7446768078145567	5	k	other	4	Dat	3.1354942159291497	1918	0.5477786255502185	1.3167185691850718	0.14118768034118426	1.2022598758929874
matek	matek	en	4.190638832642174	4	1.7446768078145567	5	k	other	4	Pl	2.5649493574615367	1918	0.5477786255502185	1.3167185691850718	0.14118768034118426	1.2022598758929874
haver	haver	yi	4.728696974633143	1	2.2866022611361054	5	r	coronal_sonorant	4	Pl	4.990625553154944	1908	0.4520906818813819	0.5139821487226904	1.031327195063686	0.724458161726014
haver	haver	yi	4.728696974633143	1	2.2866022611361054	5	r	coronal_sonorant	4	Dat	3.001886139128369	1908	0.4520906818813819	0.5139821487226904	1.031327195063686	0.724458161726014
karcer	karcer	la	-0.9323768696257794	2	-0.6005464245423525	6	r	coronal_sonorant	4	Dat	NA	1647	0.4054303453083304	-1.054480619045516	0.9584746932236238	-1.280908992860046
karter	karter	en	-0.714840005171205	6	0.13926501315555695	6	r	coronal_sonorant	4	Pl	NA	1850	0.07157577838337048	-1.2176961802337165	0.9854433593740825	-1.253258619754304
