stem	transcription	svm_weight_01	svm_weight_1	knn_2_weight	yi_la_weight	x_phon	y_phon	ends_labial_stop	ends_sibilant	ends_coronal_sonorant	ends_two_consonants	language	year	back	front	log_odds_back	stem_freq	stem_varies	sd_back
partner	partner	-3.835417542996819	-3.7333211836938305	-1.6119504765699837	0.5090118351799295	1.431642272441417	-1.5864677706929176	FALSE	FALSE	TRUE	FALSE	en	1839	471	655199	-7.237836191251888	655670	TRUE	21.69473801503814
muter	muter	-3.835417528133195	-1.4709045667236715	-2.0532064330254904	0.45905124675881886	1.1121156754940902	1.0733563423447217	FALSE	FALSE	TRUE	FALSE	yi	1840	745	102	1.9884114050952884	847	TRUE	9.471887192601812
totem	totem	-3.835417542996819	-3.915045795693955	-5.580476402574466	0.5370626557301865	0.31384293382313666	1.1729592798384358	TRUE	FALSE	FALSE	FALSE	en	1845	2	2021	-6.918200536843676	2023	TRUE	1.4135143220028468
docens	docenš	-3.835417542996819	-4.156954714554514	-5.659482215759621	0.3849838507982153	-1.1459052958593623	1.3286820751609651	FALSE	TRUE	FALSE	TRUE	la	1846	6	29878	-8.513118233374207	29884	TRUE	2.449243830652437
fotel	fotel	-1.8354175429953652	-2.1570604162224933	-2.3734024039669546	0.5576486920393967	0.8851545828948595	0.8371024693283863	FALSE	FALSE	TRUE	FALSE	fr	1848	11597	25177	-0.7751844353673116	36774	TRUE	89.10547356389542
kampec	kampec	-1.8354175429968196	-0.9872653857896504	-1.304948721665938	0.6122959279015868	-0.539327134437233	-0.5717393539801099	FALSE	FALSE	FALSE	FALSE	yi	1848	41	30	0.31237468504215243	71	TRUE	4.162204183118823
omlett	omlett	-3.835417542996819	-4.118368010003363	-4.325262691083441	0.5552165954432869	-2.877873467339763	0.02925927547072895	FALSE	FALSE	FALSE	TRUE	fr	1848	9	3760	-6.0349496590477205	3769	TRUE	2.9964160072158346
srapnel	šrapnel	-2.479814971043621	-2.4797321965258847	-0.6348782724359695	0.5744724646970829	1.6647198820641045	-0.6023743408730587	FALSE	FALSE	TRUE	FALSE	en	1848	10	320	-3.4657359027997265	330	TRUE	3.113995776646092
sláger	šláger	-2.6872676701872216	-2.68707474953595	-2.477229577006525	0.4393031777752712	1.687996817688111	0.6247359973007642	FALSE	FALSE	TRUE	FALSE	de	1854	34	52571	-7.343559391272451	52605	TRUE	5.829067241212422
zsakett	žakett	-1.835417542996621	-2.089515058123113	-3.933514537027146	0.6094410166103928	-2.116045354547723	1.1521395819229203	FALSE	FALSE	FALSE	TRUE	fr	1858	67	413	-1.8187549735700668	480	TRUE	7.592622515749526
haver	haver	-1.8354175429968196	-1.5963751967393918	3.3288680844666585	0.6381070422772022	1.031327195063686	0.724458161726014	FALSE	FALSE	TRUE	FALSE	yi	1862	71848	634	4.7302591009135595	72482	TRUE	25.06899284918201
krapek	krapek	-1.835417542996819	-1.055190397279281	-1.3233805357093211	0.5718623465508782	0.08970741386156807	0.5918073390424724	FALSE	FALSE	FALSE	FALSE	de	1862	436	39	2.414080597219388	475	TRUE	5.9831341901082356
macesz	maces	-1.8354175429968191	-0.17820746510345087	-2.6190165787318125	0.566793929840695	0.3623468303028772	1.180354981276278	FALSE	TRUE	FALSE	FALSE	yi	1862	117	88	0.28483712031954966	205	TRUE	7.086916836248499
kábel	kábel	-3.835417542996819	-3.801995060304444	-4.29587252306037	0.5390795649897665	0.8508996925429874	1.233651897293644	FALSE	FALSE	TRUE	FALSE	de	1867	658	94028	-4.962142957912092	94686	TRUE	25.562225459975014
sólet	šólet	-3.835417542996819	-4.312941812677614	-2.0897218510873925	0.6458591845923638	-0.8095024761115047	0.8690379984912502	FALSE	FALSE	FALSE	FALSE	yi	1870	86	1280	-2.700268060660155	1366	TRUE	8.97695112704393
drukker	drukker	-3.835417542996819	-3.345768171103794	-0.6007738604289302	0.45683289761835694	1.7886100749963152	-0.5520378280616528	FALSE	FALSE	TRUE	FALSE	de	1872	27	18506	-6.530013416804646	18533	TRUE	5.192366007915616
dzsungel	džungel	-3.835417542996819	-3.9793694590891047	-5.867322894833299	0.558345319615405	1.6030301005736114	-0.7382609899560966	FALSE	FALSE	TRUE	FALSE	en	1872	505	19590	-3.658216081663227	20095	TRUE	22.18803804074476
konzerv	konzerv	-3.835417542996819	-4.620584124317815	-8.866131434805165	0.4856357406698256	-0.34649816720916726	-1.4248565384599634	FALSE	FALSE	FALSE	TRUE	en	1872	70	16657	-5.472090585427749	16727	TRUE	8.349075424333094
notesz	notes	-1.8980576960012268	-1.898405381331545	-1.5474177594937872	0.5217113112949512	0.1560666086609813	1.2916622544946448	FALSE	TRUE	FALSE	FALSE	en	1873	628	3797	-1.7994263937636037	4425	TRUE	23.213652713788587
póker	póker	-3.835417542996819	-3.5908797289246728	-0.25578870867582715	0.5218908008563466	0.9738854737193368	1.1781806718523171	FALSE	FALSE	TRUE	FALSE	en	1873	78	4730	-4.104971654796387	4808	TRUE	8.7598292783036
szovjet	sovjet	-2.5566948341507403	-2.5562298252010685	-2.855941595133772	0.6615256747589582	-0.8998039228898858	-0.435095768004488	FALSE	FALSE	FALSE	FALSE	ru	1895	8	31869	-8.289947487768288	31877	TRUE	2.8280721848703148
plakett	plakett	-3.835417542996819	-3.218847624629671	-2.6600409819158495	0.4746801003262901	-1.99651655942797	0.4850268074921214	FALSE	FALSE	FALSE	TRUE	fr	1897	83	6871	-4.416224327234478	6954	TRUE	9.055901232806024
makett	makett	-3.835417542996225	-2.7459009729880988	-2.6600409819158495	0.620128739811755	-2.144752822542532	1.1612195862744168	FALSE	FALSE	FALSE	TRUE	fr	1902	345	17752	-3.94070904758107	18097	TRUE	18.396275248789667
bunker	bunker	-2.050786533756207	-2.051180012528742	-1.81792918696144	0.5816991420362356	0.9647068578430972	-0.5882694999768819	FALSE	FALSE	TRUE	FALSE	en	1906	1217	8567	-1.9515287989765169	9784	TRUE	32.643855785175
roller	roller	-2.8176227484520644	-2.8175653045547806	-2.480618741227353	0.475662963845962	0.5160181362965528	-1.3689592341692345	FALSE	FALSE	TRUE	FALSE	de	1932	372	5646	-2.719808754540288	6018	TRUE	18.681675113459857
maszek	masek	-1.8354175427734565	-0.3515495623580587	3.846793674687419	0.6909596744262636	-0.1056249902329172	0.9454862808107244	FALSE	FALSE	FALSE	FALSE	yi	1951	2084	80	3.260017768199376	2164	TRUE	8.777386505288252
panel	panel	-1.8354175429968196	-1.679791594494141	-1.126722247600003	0.6233271005602249	0.8247616296527698	0.46738465198042595	FALSE	FALSE	TRUE	FALSE	en	1953	13651	66278	-1.580045238067159	79929	TRUE	106.39341301518884
motel	motel	-1.8354175578604248	-2.3714502287335817	-1.1803738426825716	0.5716147298432462	0.8851552071324711	0.9119240891311504	FALSE	FALSE	TRUE	FALSE	en	1958	617	3365	-1.6963142181734403	3982	TRUE	22.834131008758867
bagett	bagett	-3.835417542996819	-2.883064202967574	-2.3304424018668617	0.6078186149835031	-2.1872143670490383	1.0763296217616172	FALSE	FALSE	FALSE	TRUE	fr	NA	24	4529	-5.240202613208268	4553	TRUE	4.886050553012019
bagger	bagger	-2.0247726047654164	-2.0248812534995246	-0.7040102928173163	0.6527465723692117	1.2036365436462415	-0.5531472402474767	FALSE	FALSE	TRUE	FALSE	de	NA	6	47	-2.0583881324820035	53	TRUE	2.306676118786756
bakter	bakter	-1.8354175429968196	-2.196453941256891	-2.151509390718614	0.5571867547808405	1.321649781153767	-0.5164154140665899	FALSE	FALSE	TRUE	FALSE	de	NA	366	268	0.3116463528905096	634	TRUE	12.438365397187171
barchesz	barches	-1.8354175429968196	-2.011162835944467	-2.3108838958087405	0.6221344595639445	0.5230485831627164	-1.3504424744131762	FALSE	TRUE	FALSE	FALSE	yi	NA	8	37	-1.5314763709643884	45	TRUE	2.5647178748895127
barrel	barrel	-3.2080529735672956	-2.739649975327422	-3.4639737878063275	0.6138260833178637	0.6225787964117454	-1.5130495976319462	FALSE	FALSE	TRUE	FALSE	en	NA	2	81	-3.7013019741124937	83	TRUE	1.3970709462713993
barter	barter	-2.6081467045558107	-1.9207294341890204	0.5402777308887355	0.5352415034995046	1.1273347878787892	-1.1214376715427723	FALSE	FALSE	TRUE	FALSE	en	NA	45	564	-2.528391761727739	609	TRUE	6.455608170210661
bojler	bojler	-1.8354175429968196	-2.9689732589033815	-4.433788569232471	0.5675675334886363	0.5411597989880238	-1.2817004638094782	FALSE	FALSE	TRUE	FALSE	en	NA	312	915	-1.075920877466039	1227	TRUE	15.253361487712032
borcet	borcet	-2.498216731221414	-2.5685616117252574	-3.095970999559465	0.5797256297711038	-0.6111273179292421	-0.9801306243861336	FALSE	FALSE	FALSE	FALSE	NA	NA	0	10	-Inf	10	FALSE	0
bovden	bovden	-3.53769434065185	-3.5371474437010586	-7.178640826281768	0.4847294826196573	0.21895412350745133	-0.2685426627050836	FALSE	FALSE	TRUE	FALSE	en	NA	13	531	-3.709812663780402	544	TRUE	3.5622097404973387
