test	training	phon_dist	edit_dist
azbest	koffer	4.856306979025032	6
azbest	koles	3.812005610098177	4
azbest	kompleks	5.582594417077176	7
azbest	komplett	4.725451559934319	6
azbest	koncert	3.9002717582839286	5
azbest	konfekt	4.030847065329824	5
azbest	konsern	4.728703130832948	6
azbest	konzerv	4.849695446678205	6
azbest	kopek	4.120331262939959	5
azbest	korner	4.784716152868266	6
azbest	kornett	3.80852567667779	5
azbest	korrekt	4.090735738121722	5
azbest	korteš	4.57962161505314	6
azbest	korvett	3.703906111460399	5
azbest	kotlett	4.017711987678617	5
azbest	krapek	4.841228878648233	6
azbest	krokett	4.036813294232649	5
azbest	kráter	5.093217674166441	6
azbest	kukker	5.096027963971512	6
azbest	kupec	3.565021645021645	5
azbest	kábel	3.512857142857143	4
azbest	káder	4.255714285714285	5
azbest	kódeks	4.143188405797102	5
azbest	kókler	5.267470702447819	6
azbest	kóter	4.372320058458166	5
azbest	lasteks	3.8606216680220475	5
azbest	lateks	4.262234571247854	5
azbest	latenš	4.381067690080973	5
azbest	lorṉett	3.80852567667779	5
azbest	lues	3.621863799283154	4
azbest	lumen	4.154735207866137	5
azbest	lumpen	4.976994668835276	6
azbest	láger	4.078341013824884	5
azbest	lóden	4.399568635308261	5
azbest	maces	3.7684584178498985	4
azbest	macher	4.287728937728938	5
azbest	maglen	4.543939753320683	5
azbest	majster	4.979669287069666	6
azbest	makett	3.3549111807732497	4
azbest	malter	4.173217674166441	5
azbest	marlen	4.377609108159393	5
azbest	masek	4.203870967741936	5
azbest	matek	4.488458417849898	5
azbest	mater	4.411315560707042	5
azbest	modell	4.156238114708879	5
azbest	modem	4.571146123366888	5
azbest	modern	4.072459148576972	5
azbest	moped	4.004672033731033	5
azbest	motel	4.417837299837476	5
azbest	muteks	4.296813396204877	5
azbest	muter	4.415861015252496	5
azbest	mutter	5.064863662586623	6
azbest	mágneš	4.699404761904762	6
azbest	nonsens	4.852671637154396	6
azbest	notes	3.7816851378232452	4
azbest	ofset	3.3608857336037863	4
azbest	okker	3.9425240707568294	5
azbest	oklen	4.227129408493097	5
azbest	omlett	3.137125907092537	4
azbest	paccer	4.290670114199526	5
azbest	pajes	3.75	4
azbest	pakett	3.3560606060606064	4
azbest	pamflet	4.453253325621747	5
azbest	panel	4.403273809523809	5
azbest	parkett	3.1168132942326494	4
azbest	parsek	4.314086021505377	5
azbest	partner	5.164026497695852	6
azbest	pastell	3.828154135554515	5
azbest	plakett	4.083479960899316	5
azbest	pollen	4.998298763331807	6
azbest	poster	4.60035894224208	6
azbest	prakker	5.321834415584416	6
azbest	projekt	4.434562211981567	5
azbest	puffer	5.009810872239715	6
azbest	pátenš	4.412250485779897	5
azbest	páter	4.412464985994398	5
azbest	póker	4.338772821381517	5
azbest	púder	4.306926406926407	5
azbest	rakett	3.3248778103616816	4
azbest	ranett	3.3959005376344087	4
azbest	raster	3.9796692870696666	5
azbest	rocker	4.831145865628624	6
azbest	roller	4.876450023836008	6
azbest	rubel	3.5328864683703394	4
azbest	rulett	3.492179863147605	4
azbest	skander	5.1694980694980694	6
azbest	slogen	4.9380711831375965	6
azbest	softver	5.79754902768396	7
azbest	solvenš	4.679882087436375	6
azbest	sonett	3.4128843517430476	4
azbest	sovjet	4.360474601408972	5
azbest	subrett	3.5671580671580676	4
azbest	tandem	4.432890926640926	5
azbest	tangenš	3.9764264264264266	5
azbest	taster	3.9796692870696666	5
azbest	tatjen	4.492911010558069	5
azbest	token	4.467639104736964	5
azbest	tormeṉ	4.631442343344457	6
